Id,TestFacility_Fk_Id,SubCategoryName,Description,IsActive
407,0,V NOTCH CHARPY AT AMBIENT TO -40 DEGREE,NULL,1
408,0,VERNIER CALIPER,NULL,1
409,0,Vibration Machine,NULL,1
410,0,VIBRATION SHAKER,NULL,1
411,0,Vibration Test Machine,NULL,1
412,0,Vibration Test System,NULL,1
413,0,Vice,NULL,1
414,0,Vickers Hardness,NULL,1
415,0,VICKERS HARDNESS MACHINE,NULL,1
416,0,Vickers Hardness Test,NULL,1
417,0,Vickers Hardness Test of ferrous & non-ferrous metals,NULL,1
418,0,Vickers Hardness Tester,NULL,1
419,0,Vinbration Test System,NULL,1
420,0,Visual,NULL,1
421,0,Water absorption by Cobb tester,NULL,1
422,0,Water Immersion Test Setup,NULL,1
423,0,Water Test,NULL,1
424,0,Weigh Balance &  Specific Gravity Balance,NULL,1
425,0,WEIGHING BALANCE,NULL,1
426,0,WEIGHING SCALE,NULL,1
427,0,Weight in Kg per 10 ltr,NULL,1
428,0,WEIGHTING BALANCE,NULL,1
429,0,WEIGHTING BALANCE & STEEL SCALE,NULL,1
430,0,Wet Analysis testing per element wise,NULL,1
431,0,Wet Chemical Analysis,NULL,1
432,0,Wet Chemical Analysis of  Cast Iron,NULL,1
433,0,WRAP REEL,NULL,1
434,0,Wrap Reel and Weighing scale,NULL,1
435,0,"WRAP REEL, ELECTRONIC BALANCE",NULL,1
436,0,X Ray Machine,NULL,1
437,0,Xenon Arc Lamp Tester,NULL,1
438,0,XEOTEST ALPHA+,NULL,1
439,0,YARN STRENGTH TESTER,NULL,1
440,0,Yiled Strength,NULL,1
441,0,Zinc Base Alloy,NULL,1
442,0,Zinc Stearate,NULL,1
443,0,1. Specimen cutting (Automatic)   2. Mounting (Automatic) 3. Polsihing (Semi-Automatic) 4. Etching (Manual)  5. Testing using Optical Microscope [Semi-Automatic],NULL,1
444,0,FOPS (Fall over protective structures) testing of Earthmover equipment cabin as per ISO 3449 or as per customer requirements,NULL,1
445,227,Micrometers,NULL,NULL
446,227,Vernier Callipers,NULL,NULL
447,227,Height Gauges,NULL,NULL
448,227,Depth Gauges & other measuring instruments,NULL,NULL
450,229,"CMM, Micrometers, Vernier Callipers, Height Gauges, Depth Gauges & other measuring instruments.",NULL,1
451,227,OTHERS,NULL,1
