CompanyMaster_FK_ID,ProductId,ProductName,Category,ProductType,Description,HSCode,IsConsumable,DefencePlatform,TechArea
9062,,LED TUBE LIGHT WITH FULLY INTERGRAT,,,,,,,
2851,,CONVERSION OF BASE TO DRG ARDE 2149,,,,,,,
3859,,"MAIN ENGINES, GEAR BOXES, DG SETS",,,,,,,
12973,,Basic Ramming Mass,,,,,,,
15326,,HOT TOP BOARD,,,,,,,
2851,,CONV.OF 25MM (T) AL.SHEET TO BLANKS,,,,,,,
2623,,"PIPE FITTINGS, FLANGES",,,,,,,
4285,,WELDING ELECTRODES,,,,,,,
225,,BOTTOM POURING S.G IRON INGOT MOULD,,,,,,,
13390,,Dolamite,,,,,,,
15234,,VIM TUNDISH HEATING SYSTEM,,,,,,,
8547,,20 NB CERAMIC COATED CALORISED LANCING PIPE.,,,,,,,
9620,,"HULL, PIPING AND MACHINERY WORKS",,,,,,,
15349,,DESKTOP COMPUTER,,,,,,,
3287,,SCREW PUMPS,,,,,,,
2851,,TO CARRY OUT ZINC PLATING OPERATION,,,,,,,
3864,,CARBIDE TIPPED BAND SAW BLADE,,,,,,,
8620,,NDT SERVICES,,,,,,,
13222,,High Purity Nitrogen Gas,,,,,,,
13379,,VALVES,,,,,,,
13222,,Gas Acetylene,,,,,,,
14242,,DEPLOYMENT OF LABOURER,,,,,,,
199,,ZINC PURE 99.95% MIN.(ZN),,,,,,,
2706,,C.R. GM Strips Size 1.08mm+/-0.01mm Thick,,,,,,,
4148,,HEAT EXCHANGER,,,,,,,
15634,,Full Welding of MPV Hull,,,,,,,
15102,,GREY/BLACK CED COATING WITH POLISHING,,,,,,,
4637,,HDPE M 5018 L (18MFI) GRANULE,,,,,,,
12057,,"PARAFFIN WAX, SPECIAL JSS 9160-06",,,,,,,
2706,,C.R. GM Strips Size 1.57mm+0.015mm Thick,,,,,,,
13957,,SPARE PARTS XRF,,,,,,,
12057,,MINERAL JELLY JSS-8030-09:2021 REV4,,,,,,,
2706,,C.R. GM Strips Size 1.66+/-0.02mm Thick,,,,,,,
4637,,FIBRE GLASS REINFORCED POLYSTERENE,,,,,,,
2706,,C.R. GM Strips Size 0.56mm +0.02mm Thick,,,,,,,
11484,,Laptop,,,,,,,
2706,,C.R. GM Strips Size 1.70mm+0.03mm - 0.01mm Thick,,,,,,,
4637,,UV STABILISED PRE-COLOURED POLY,,,,,,,
14390,,Grinding Wheel Size 600X100X250,,,,,,,
14090,,REFRACTORY SLEEVES,,,,,,,
2219,,C.R. GM Strips to Size 1.05mm + /- 0.01mm Thick,,,,,,,
2219,,C.R. GM Strips to Size 1.66mm +/- 0.02mm Thick,,,,,,,
14152,,SPRING TO DRG PT NO. QX-341 F.C.,,,,,,,
